ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D03WPA,,Pfizer Pharmaceuticals,Antiinfective Agents,Small molecular drug,Approved
D03XSJ,,McNeil Laboratories,Antihistamines,Small molecular drug,Approved
D03XTC,,Bedford Laboratories,Antihypertensive Agents,Small molecular drug,Approved
D03XYW,,Typharm Limited,Antiinflammatory Agents,Small molecular drug,Approved
D03YGR,,Amgen,Calcimimetics,Small molecular drug,Approved
D03ZZK,,Taro Pharmaceuticals Inc,Antiinflammatory Agents,Small molecular drug,Approved
D04AAN,,Norvatis Phamaceuticals Corporation,Antipsychotic Agents,Small molecular drug,Approved
D04AAW,,Pfizer Pharmaceuticals,Anti-HIV Agents,Small molecular drug,Approved
D04AQH,,Emd Serono Inc,Hormone Replacement Agents,Small molecular drug,Approved
D04BNP,,Mylan Inc,Hypnotics and Sedatives,Small molecular drug,Approved
D04CFW,,Pfizer Pharmaceuticals,Antibiotics,Small molecular drug,Approved
D04CRL,,Teva Pharmaceuticals,Immunosuppressive Agents,Small molecular drug,Approved
D04EGX,,Pfizer Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D04EYC,,Merck Sharp & Dohme Pharmaceuticals,Antihypertensive Agents,Small molecular drug,Approved
D04FBR,,Roche,Immunosuppressive Agents,Small molecular drug,Approved
D04FVU,,Eisai Inc,Antiemetics,Small molecular drug,Approved
D04GJN,,Bristol Myers Squibb,Anticancer Agents,Small molecular drug,Approved
D04GYO,,Fougera Pharmaceuticals Inc,Antifungal Agents,Small molecular drug,Approved
D04JCN,,Valeant Pharmaceuticals,Antiparkinson Agents,Small molecular drug,Approved
D04JEE,,AstraZeneca plc,Antianxiety Agents,Small molecular drug,Approved
D04JHN,,Knoll,Analgesics,Small molecular drug,Approved
D04KJO,,Norvatis Phamaceuticals Corporation,Sympathomimetics,Small molecular drug,Approved
D04KTZ,,Beecham phamaceuticals,Antibiotics,Small molecular drug,Approved
D04KYY,,GlaxoSmithKline,Antimetabolites,Small molecular drug,Approved
D04NDM,,King Pharmaceuticals,Antibiotics,Small molecular drug,Approved
D04OBB,,Aventis Pharmaceuticals Inc.,Antiallergic Agents,Small molecular drug,Approved
D04ODH,,Hikma (Maple) Ltd,Fertility Agents,Small molecular drug,Approved
D04OSE,,Bayer,Analgesics,Small molecular drug,Approved
D04QJD,,GlaxoSmithKline,Antiviral Agents,Small molecular drug,Approved
D04QLR,,Astrazeneca Lp,Anesthetics,Small molecular drug,Approved
D04QSJ,Motegrity,Shire/Takeda,,Small molecular drug,Approved
D04QWE,,Hoffmann La Roche Inc,Antinarcotic Agents,Small molecular drug,Approved
D04URO,,Alpes Selection,Thrombolytic Agents,Small molecular drug,Approved
D04VEJ,,Galderma,Antibiotics,Small molecular drug,Approved
D04VFJ,,Prostrakan Inc,Anticancer Agents,Small molecular drug,Approved
D04VKS,,Schering Corp Sub Schering Plough Corp,Antiinfective Agents,Small molecular drug,Approved
D04VMT,,Bristol-Myers Squibb,Antiarrhythmic Agents,Small molecular drug,Approved
D04VPA,,Shire Development Inc,Antiarrhythmic Agents,Small molecular drug,Approved
D04VXN,,Eli Lilly And Co,Antiinfective Agents,Small molecular drug,Approved
D04XDT,Baxdela,Melinta Therapeutics,,Small molecular drug,Approved
D04XEG,,Boehriger Ingelheim,Bronchodilator Agents,Small molecular drug,Approved
D04XGT,Benznidazole,Chemo Research,,Small molecular drug,Approved
D04YHR,,Lantheus Medical Imaging Inc,Neurology Agents,Small molecular drug,Approved
D04YMH,,Norvatis Phamaceuticals Corporation,Antiinflammatory Agents,Small molecular drug,Approved
D04ZAH,,Wyeth,Antibiotics,Small molecular drug,Approved
D04ZBT,,Jerini AG,Antiinflammatory Agents,Small molecular drug,Approved
D04ZTY,,Takeda,Hypoglycemic Agents,Small molecular drug,Approved
D05AHE,,Edison Therapeutics Llc,Oxytocics,Small molecular drug,Approved
D05ARP,,"Bausch & Lomb Pharmaceuticals, Inc.",Antiviral Agents,Small molecular drug,Approved
D05BJD,,"Pharmacyclics, Inc",Anticancer Agents,Small molecular drug,Approved
D05CEU,,Janssen Pharmaceutica,Anticonvulsants,Small molecular drug,Approved
D05CHI,,Adria Laboratories,Antibiotics,Small molecular drug,Approved
D05DVP,,AstraZeneca plc,Antiasthmatic Agents,Small molecular drug,Approved
D05EPM,,Ovation Pharmaceuticals,Anticonvulsants,Small molecular drug,Approved
D05GJW,,"EMD Serono Rockland, MA",Anticancer Agents,Small molecular drug,Approved
D05GKD,,Chemie Grunenthal of Stolberg-am-Rhein,Analgesics,Small molecular drug,Approved
D05GPO,,Alcon,Antiallergic Agents,Small molecular drug,Approved
D05HPI,,Cubist Pharmaceuticals,Antibiotics,Small molecular drug,Approved
D05HXX,,Daiichi Sankyo Pharma Development,Antifibrinolytic Agents,Small molecular drug,Approved
D05JDR,,Shionogi USA,Antibiotics,Small molecular drug,Approved
D05KON,,MedPointe,Antiepileptic Agents,Small molecular drug,Approved
D05LEO,,Hoffmann-La Roche pharmaceutical company,Immunosuppressive Agents,Small molecular drug,Approved
D05LKP,,Lilly,Antiinfective Agents,Small molecular drug,Approved
