disease_name,icd11_code
Huntington disease,8A01.10
Chronic myelogenous leukaemia,2A20.0
Ocular allergy,4A81
Insufficient tear production,5B55.Y
Prostate disease,GA91
Primary myelofibrosis,2A20.2
Atrial fibrillation,BC81.3
Panic attacks,MB23.H
Acute myocardial infarction,BA41
Mineral-electrolyte metabolism disorder,5C64
Peritoneal cancer,2C51.Z
Fallopian tube cancer,2C74
Primary mediastinal B-cell lymphoma,2A81
X-linked hypophosphataemia,5C63.22
Hepatitis E virus infection,1E50.4
Thrombocythemia,3B63
Benzodiazepine overdose,PC91
HCV 1-6 infection,1E51
External genital and perianal wart,1A95
Condyloma,1A95
Verruca vulgaris,1E80
Enzyme deficiency,5C51-5C57
Hormonally-responsive breast cancer,2C60-2C65
Obstructive hypertrophic cardiomyopathy,BC43.12
Blepharospasm,9A05.Z
Visceral spasms,MD81.4
Essential thrombocythemia,3B63.1Z
Plant grey mould disease,N.A.
Acute lymphocytic leukaemia,2B33.3
Seborrhoeic dermatitis,EA81
Grade IV astrocytoma,2A00.0
Pyruvate kinase deficiency,5C53.00
Organ transplant rejection,NE84
Ocular disease,N.A.
Cardiac output syndrome,BC43
Urinary dysfunction,GC2Z
Fever,MG26
Ringworm infection,1F28
Kidney stone,GB70.0Z
Hantavirus infection,1D62
Somatotropin deficiency,5A61.0
Pest attack,N.A.
Herbicide,N.A.
Staphylococcus infection,1B5Y
Reversal of the anticoagulant effects of dabigatran,N.A
Mild hypocalcemia,5B5K.1
Radiocontrast agent,N.A.
Addictive disorder,6C50-6C5Z
Hypertensive emergency,BA03
Aneurysm,BD51.Z
Hypersensitivity,4A80-4A85
Dermatologic infection,1F28
Orthostatic hypotension,BA21
Methicillin-resistant staphylococci infection,1A00-1A09
Keratosis,ED56
Reperfusion injury,ND56.Z
Examination of eyes or vision,QA00.6
Intestinal cancer,2C0Z
Malignant solid tumour,2C10-2F32
Triple negative breast cancer,2C60-2C65
Ocular hypertension,9C61.01
Vulvovaginitis,GA02.0
Familial chylomicronemia syndrome,5C80
Nodal marginal zone lymphoma,2A85.0
Cystinuria,5C60.2
Cystine urolithiasis,GB70-GB7Z
Chronic open-angle glaucoma,9C61.0
Vascular disease,BE2Z
Respiratory failure,CB41
Systemic sclerosis,4A42
Recurrent glioblastoma,2A00.00
Perianal crohn disease,DD70.4
Chlamydia infection,1A81
Diarrhea-predominant irritable bowel syndrome,DD91.01
Atrophic vaginitis,GA30.2
Acute cardiac ischemic events,BA40.Z
Intestinal strongyloidiasis due to nematode parasite,1F6B
Dystonia,8A02
Urethral cancer,2C93
Factor VIII deficiency,3B10
Dyspepsia,MD92
Neutropenia,4B00.0
HIV-associated diarrhoea,1A2Z
Anthrax,1B97
Tenosynovial giant cell tumour,2F7B
Pigmented villonodular synovitis,FA27.1
Neurofibromatosis type 1,LD2D.10
Yellow fever virus infection,1D47
Soft tissue sarcoma,2B57
Intermittent claudication,BD40.00
Amnesia,MB21.1
Glioma,2A00.0
Dietary shortage,5B5K
Mydriasis,LA11.62
Chronic HCV-1 infection,1E51.1
Hyperkinetic movement disorder,6B60.8
Ovarian stimulation,LB45.1
Acquired methemoglobinemia,3A93
Mammary tumour,2C60-2C6Z
Impacted cerumen,AA42
Streptococcus infection,1B53
B-cell non-hodgkin lymphoma,2B33.5
C. difficile infection,1A04
Sunburn,EJ40
Fetal trimethadione syndrome,LD2F.0Y
Mesothelioma,2C51.2
Bacterial pneumonia,CA40.0
HER2-positive breast cancer,2C60-2C65
Influenza,1E30-1E32
Nasal congestion,MD11.9
Acute gouty arthritis,FA25.0
Acute gout flare,FA25.0
Glioblastoma multiforme,2A00.0
Chronic liver disease,DB99.0
Cerebrovascular disease,8B2Z
Skeletal muscle relaxant,NE60
Helminth infection,1F90.0
Dutch elm disease,8D64
Hematologic disease,3C0Z
Anaplastic large cell lymphoma,2A90.A
Trichuris trichiura infection,1F6G
Artery stenosis,BD52
Ankylosing spondylitis,FA92.0
Joint pain,ME82
Spinal anesthesia,MB40.3
Juvenile idiopathic arthritis,FA24
Gallbladder disease,DC11.3
Respiratory allergy,4A80
Esophageal cancer,2B70
Urinary retention,MF50.3
Bacillus anthracis infection,1G40
Chemoprotection,N.A.
Respiratory tract disease,CB7Z
Functional bowel syndrome,DD91.0
High cholesterol level,5C80.0
Mucositis,CA00
Appendicitis,DB10
Tumour,2A00-2F9Z
Primary progressive multiple sclerosis,8A40.1
Plasmodium vivax malaria,1F41
Chronic HBV infection,1E51.0Z
Secondary hyperparathyroidism,5A51.1
Abortion,JA00
Vitamin B6 deficiency,5B5D
High blood cholesterol level,5C80.00
Postherpetic neuralgia,1E91.5
Duodenal ulcer,DA63
Invasive candidiasis,1F23
Molybdenum cofactor deficiency,5B5K.A
Encephalopathy,8E47
Nervous system disease,8A00-8E7Z
X-rays imaging,N.A.
