ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
D0XM1A,Safinamide mesylate,Parkinson disease,8A00.0,Approved
D0XL6C,SB-M00026,Hepatitis B virus infection,1E51.0,Approved
D0XH3V,Inebilizumab,Neuromyelitis optica spectrum disorder,8E4A.0,Approved
D0XF8W,Pyrazinamide,Mycobacterium infection,1B10-1B21,Approved
D0XE8H,Von willebrand factor,Hemophilia,3B10.0,Approved
D0XE1C,Regadenoson,Radionuclide imaging,N.A.,Approved
D0XE0U,14C-urea,Helicobacter infection,DA42-DA63,Approved
D0XE0U,14C-urea,Diagnostic imaging,N.A.,Approved
D0XB8P,Betaine,Inborn error of metabolism,5C50-5C59,Approved
D0X9ZC,Cefadroxil,Bacterial infection,1A00-1C4Z,Approved
D0X9XP,Diosmin,Hemorrhoids,DB60,Approved
D0X9RY,Benzoic Acid,Fungal infection,1F29-1F2F,Approved
D0X9RG,Butorphanol,Pain,MG30-MG3Z,Approved
D0X9PF,Bremelanotide,Hypoactive sexual desire dysfunction,HA00,Approved
D0X9PF,Bremelanotide,Erectile dysfunction,HA01.1,Phase 3
D0X9MP,Zipeprol,Cough,MD12,Approved
D0X9KI,Technetium Tc-99m Disofenin Kit,Radioactive tracer,N.A.,Approved
D0X9CH,Telaprevir,Hepatitis C virus infection,1E51.1,Approved
D0X8XA,Sulconazole,Fungal infection,1F29-1F2F,Approved
D0X8KY,Fosinopril,Hypertension,BA00-BA04,Approved
D0X7ZL,Sodium salicylate,Pain,MG30-MG3Z,Approved
D0X7XG,Fusidic Acid,Bacterial infection,1A00-1C4Z,Approved
D0X7XG,Fusidic Acid,MRSA infection,1D01.0Y,Phase 3
D0X7QQ,Benperidol,Schizophrenia,6A20,Approved
D0X7NU,Pralidoxime Chloride,Poisoning due to pesticides and chemicals,NE6Z,Approved
D0X7KZ,Strontium ranelate,Osteoporosis,FB83.0,Approved
D0X7KB,Lisuride,Parkinson disease,8A00.0,Approved
D0X7KB,Lisuride,Fibrosis,GA14-GC01,Phase 3
D0X7JR,Eflornithine,African trypanosomiasis,1F51,Approved
D0X7JR,Eflornithine,Trypanosomiasis,1D51-1F53,Phase 2
D0X7JN,Clavulanate,Bacterial infection,1A00-1C4Z,Approved
D0X7IT,Ioxaglate,Cardiovascular disease,BA00-BE2Z,Approved
D0X7HM,Carboplatin,Ovarian cancer,2C73,Approved
D0X7GL,Retigabine,Behcet disease,4A62,Approved
D0X7GL,Retigabine,Epilepsy,8A60-8A68,Withdrawn from market
D0X7DE,Nefazodone,Major depressive disorder,6A70.3,Approved
